element,level,t,r,theta,phi,pred
0,0,0.0,0.0,3.141592653589793,0.0,[]
1,1,0.023286856670521328,0.015299958037064187,3.141592653589793,0.0,[0]
3,1,0.0464444169378756,0.029075800721674483,0.0,0.0,[0]
2,2,0.03964878014753004,0.01615487227210799,3.141592653589793,0.0,[1]
4,2,0.04964270962180495,0.00300356084716058,0.0,0.0,[1]
6,2,0.05174448662463005,0.03076070345559223,0.0,0.0,[3]
7,3,0.07205447384301,0.03869247381181584,0.0,0.0,[6]
9,3,0.0819401444883312,0.005881823631244787,0.0,0.0,[2 4 6]
10,3,0.09039022577575839,0.0034169571369917495,3.141592653589793,0.0,[2 4 6]
12,4,0.09979927314858217,0.0067315482092880075,3.141592653589793,0.0,[ 9 10]
13,4,0.11023745684052266,0.07297851201010364,0.0,0.0,[7]
15,5,0.11530600933146518,0.0001894542080994599,3.141592653589793,0.0,[12]
23,5,0.1353528012121492,0.0507043199991265,0.0,0.0,[13]
28,5,0.15163093893594548,0.08191450906645825,0.0,0.0,[13]
36,5,0.17787264474526876,0.1282544367783881,0.0,0.0,[13]
17,6,0.12497577142347471,0.001363135855570019,0.0,0.0,[15]
19,6,0.12738221052773757,0.007004108174125778,3.141592653589793,0.0,[15]
40,6,0.18237599493321888,0.08609781962459628,0.0,0.0,[23 28]
54,6,0.1988025358302533,0.1412555931358357,0.0,0.0,[36]
24,7,0.13759580073657252,0.004895113911141946,3.141592653589793,0.0,[17 19]
55,7,0.1998733161149705,0.09845445711452505,0.0,0.0,[40]
60,7,0.21029232848555834,0.15141157397174865,0.0,0.0,[54]
42,8,0.18257659221541356,0.015422372353377956,0.0,0.0,[24]
61,8,0.2133128162647977,0.09788578655656388,0.0,0.0,[55]
68,8,0.22378743363224096,0.14290891366887815,0.0,0.0,[60]
69,8,0.2244609962302042,0.1510839731016198,0.0,0.0,[60]
57,9,0.2024321917970282,0.02936151426559963,0.0,0.0,[42]
73,9,0.23875758033934158,0.1412390003235401,0.0,0.0,[68 69]
80,9,0.24828896626878083,0.11016295035344636,0.0,0.0,[61]
92,10,0.2608609290129772,0.08243658256624065,0.0,0.0,[57]
95,10,0.2642704704457307,0.07756973151066016,0.0,0.0,[57]
106,10,0.2776074755649993,0.12289350741423055,0.0,0.0,[73 80]
121,11,0.29506161668321085,0.10821790540401865,0.0,0.0,[ 92  95 106]
126,12,0.3020373445866845,0.1106055203286922,0.0,0.0,[121]
130,13,0.30843111509225274,0.11550451593672562,0.0,0.0,[126]
151,14,0.33721097224712226,0.14016036252286035,0.0,0.0,[130]
162,15,0.3449218058449125,0.14539225089898333,0.0,0.0,[151]
187,16,0.37434536396928075,0.11626172239854626,0.0,0.0,[162]
201,17,0.3869115422204197,0.11204139003005831,0.0,0.0,[187]
213,18,0.39709324358870324,0.11846082413339021,0.0,0.0,[201]
228,19,0.40845955359533903,0.11999982662798558,0.0,0.0,[213]
244,20,0.42289277692187044,0.11490374147414051,0.0,0.0,[228]
287,21,0.46736080214472575,0.12152375522729841,0.0,0.0,[244]
304,22,0.48359995259342403,0.10629144871021046,0.0,0.0,[287]
308,23,0.48617178364186553,0.10830242420041325,0.0,0.0,[304]
326,24,0.5057305602613961,0.11415168664664499,0.0,0.0,[308]
356,25,0.5292222362161899,0.11561982496096901,0.0,0.0,[326]
364,26,0.5385148901672272,0.11071651106963842,0.0,0.0,[356]
378,27,0.5466826302967989,0.11101084942179185,0.0,0.0,[364]
441,28,0.5996927944504729,0.1216593040197641,0.0,0.0,[378]
445,28,0.6011473056847713,0.11651683607692587,0.0,0.0,[378]
449,28,0.6044588977016387,0.07213965995246097,0.0,0.0,[378]
453,29,0.6137059129876091,0.06413554642272223,0.0,0.0,[449]
454,29,0.6140958673220364,0.11804337180667313,0.0,0.0,[441 445]
463,30,0.6261023739480283,0.05426874285892058,0.0,0.0,[453]
471,30,0.6344068223420144,0.1345683703975803,0.0,0.0,[454]
473,31,0.6355408797196447,0.06156611832120251,0.0,0.0,[463]
483,31,0.6500840115557964,0.14269334640898867,0.0,0.0,[471]
487,32,0.6517541216525622,0.14352940565448813,0.0,0.0,[483]
496,32,0.6609408451519517,0.0828574122129434,0.0,0.0,[473]
503,33,0.6746635262098895,0.07875674260004784,0.0,0.0,[496]
505,33,0.6752796185139328,0.06941224205242291,0.0,0.0,[496]
509,33,0.6782070098212202,0.1571590149477473,0.0,0.0,[487]
519,34,0.6922754678951862,0.08417080569535651,0.0,0.0,[503 505]
520,34,0.6948212546101201,0.16903555489809707,0.0,0.0,[509]
527,34,0.6981166684241406,0.06946217840042646,0.0,0.0,[503 505]
533,35,0.705022623130167,0.16985289430922934,0.0,0.0,[520]
537,35,0.7089753814530168,0.07430147518559815,0.0,0.0,[519 527]
539,35,0.713442731075641,0.09091328162901413,0.0,0.0,[519]
538,36,0.7122736961033354,0.17368970215986101,0.0,0.0,[533]
549,36,0.7213674881008678,0.09367554710551862,0.0,0.0,[539]
550,36,0.7221282970703288,0.08340894646806274,0.0,0.0,[537 539]
553,37,0.7274506979397036,0.16601098532279568,0.0,0.0,[538]
560,37,0.7392009894622744,0.08503132918551237,0.0,0.0,[549 550]
575,38,0.755302163847061,0.15239871663170612,0.0,0.0,[553]
584,38,0.7647283145538764,0.06515861357515518,0.0,0.0,[560]
588,39,0.7798505270384734,0.07979957082001177,0.0,0.0,[584]
598,39,0.7930742414368207,0.060407409919588706,0.0,0.0,[584]
599,39,0.79318411531867,0.061060456020534226,0.0,0.0,[584]
601,39,0.7958204541658166,0.11527084783163288,0.0,0.0,[575]
603,40,0.798027563200353,0.11437420164585577,0.0,0.0,[601]
617,40,0.8310874500027315,0.07663894924307135,0.0,0.0,[588 598 599]
613,41,0.8262475098406278,0.11927022899032047,0.0,0.0,[603]
622,41,0.8496165347331156,0.058527875408713737,0.0,0.0,[617]
628,42,0.8644360635093841,0.07294265759226604,0.0,0.0,[622]
630,42,0.8694555217800084,0.09318576112010657,0.0,0.0,[613]
634,42,0.8757330278606108,0.048289115413002515,0.0,0.0,[622]
640,43,0.8915510927969749,0.08045463653090279,0.0,0.0,[628 630]
642,43,0.9084760906425351,0.027998999513163203,0.0,0.0,[634]
643,43,0.9143595187097197,0.05723664958474839,0.0,0.0,[628 630 634]
647,44,0.9340364817382242,0.05856285153851726,0.0,0.0,[640 643]
649,44,0.942419485348626,0.04046205371520817,0.0,0.0,[640 642 643]
652,45,0.9685204482392656,0.02736037275545755,0.0,0.0,[647 649]
654,46,0.9829711181325358,0.016717219724105115,0.0,0.0,[652]
655,47,1.0,0.0,3.141592653589793,0.0,[654]
0,0,0.0,0.0,3.141592653589793,0.0,[]
1,1,0.034626116841699806,0.002064332202177277,3.141592653589793,0.0,[0]
2,1,0.04803656039759652,0.03438579917746298,3.141592653589793,0.0,[0]
3,2,0.058318792198831404,0.024228611310577852,3.141592653589793,0.0,[1 2]
4,2,0.061785433981660476,0.012191714563156708,3.141592653589793,0.0,[1]
5,3,0.06815875573522068,0.026502049814353335,3.141592653589793,0.0,[3]
6,3,0.06850498108002367,0.006265402693953814,3.141592653589793,0.0,[4]
13,4,0.09691494141912482,0.010161458757065756,3.141592653589793,0.0,[5 6]
16,5,0.11498723669876909,0.011023516505392794,3.141592653589793,0.0,[13]
26,5,0.14225166533389566,0.021383538522100065,0.0,0.0,[13]
24,6,0.14022507336120427,0.007723196161962598,0.0,0.0,[16]
27,6,0.14447926590675775,0.022995622545167738,0.0,0.0,[26]
33,7,0.1582231980307972,0.01603744261478479,0.0,0.0,[24 27]
40,8,0.16817281206252954,0.012042445389019552,0.0,0.0,[33]
51,9,0.19362412052250844,0.035906910757412036,0.0,0.0,[40]
60,10,0.21071272008124353,0.03731243375672366,0.0,0.0,[51]
66,11,0.23377776038979547,0.04057484032287206,0.0,0.0,[60]
67,11,0.24121201603557096,0.018255659370805866,0.0,0.0,[60]
68,11,0.24347860596351023,0.030311480756838205,0.0,0.0,[60]
93,12,0.27078621015795135,0.02352387860625038,0.0,0.0,[66 67 68]
117,13,0.29518456422224437,0.024034004089237726,0.0,0.0,[93]
130,14,0.3128721083494096,0.02338939172942711,0.0,0.0,[117]
142,15,0.32505948956622477,0.026005835189396143,0.0,0.0,[130]
154,16,0.34028178148695354,0.012447697337194863,0.0,0.0,[142]
192,17,0.383947608023378,0.03551705298923391,0.0,0.0,[154]
200,18,0.38984861636595747,0.03177435618281721,0.0,0.0,[192]
213,19,0.3992597769239131,0.040533637532486844,0.0,0.0,[200]
227,20,0.4091924143877016,0.04143692547892053,0.0,0.0,[213]
244,21,0.4306400180296076,0.0379493213163985,0.0,0.0,[227]
268,22,0.4548406070888139,0.047847056740551897,0.0,0.0,[244]
295,23,0.4725561548518712,0.038564383919663214,0.0,0.0,[268]
313,24,0.48486415352659595,0.02877193437733916,0.0,0.0,[295]
316,24,0.4858862714871841,0.03381465478764867,0.0,0.0,[295]
328,25,0.4986664846248757,0.036867313784100686,0.0,0.0,[313 316]
346,25,0.5089451446417661,0.023670605839998693,0.0,0.0,[313 316]
376,26,0.5325515609238142,0.026531710891891436,0.0,0.0,[328 346]
379,27,0.534339530318511,0.027498419664536145,0.0,0.0,[376]
403,28,0.5559476598621916,0.02620018640777355,0.0,0.0,[379]
433,29,0.5813185048847405,0.017082132956832252,0.0,0.0,[403]
434,29,0.5814629549494642,0.023819337757682968,0.0,0.0,[403]
450,30,0.6011827132963589,0.03078189754098637,0.0,0.0,[433 434]
453,31,0.6031283772479076,0.03067518506608724,0.0,0.0,[450]
459,32,0.6108736773703155,0.03687506750779346,0.0,0.0,[453]
465,33,0.6147080615300997,0.03758427488401295,0.0,0.0,[459]
477,34,0.6287670211462849,0.050815922376627354,0.0,0.0,[465]
489,35,0.6357718403349115,0.055249170147998794,0.0,0.0,[477]
503,36,0.6525471276165421,0.0649230827920314,0.0,0.0,[489]
515,37,0.6697798018158588,0.052053039553765945,0.0,0.0,[503]
528,38,0.6847271802233471,0.0638983514848015,0.0,0.0,[515]
553,39,0.715828498333506,0.07820536969343739,0.0,0.0,[528]
556,39,0.7216408741861463,0.09215286743513185,0.0,0.0,[528]
567,40,0.7389937025354403,0.09100782090165604,0.0,0.0,[553 556]
576,41,0.7599234933918604,0.079260060070792,0.0,0.0,[567]
580,41,0.7667422215693734,0.10412649384194228,0.0,0.0,[567]
596,42,0.785244877317098,0.08733914897032236,0.0,0.0,[576 580]
608,43,0.8060741210086496,0.08774378550806372,0.0,0.0,[596]
618,44,0.8186961230572051,0.07747114785370435,0.0,0.0,[608]
620,45,0.8253989428857516,0.07737963926423008,0.0,0.0,[618]
623,45,0.8312893209866847,0.08735924788782445,0.0,0.0,[618]
629,46,0.8484444248492686,0.079347389531362,0.0,0.0,[620 623]
