element,level,t,r,theta,phi,pred
0,0,0.0,0.0,0.0,0.0,[]
1,1,0.014018131584173976,0.011249611189073638,2.131454119158579,0.0,[0]
2,1,0.01490750996432022,0.014877738728970857,1.0082274098218256,0.0,[0]
3,1,0.024253212557082127,0.020193413073143755,0.23075716173277025,0.0,[0]
4,2,0.026507946419048745,0.01167370641911547,2.0069807393345305,0.0,[1]
5,2,0.028799115741897974,0.023127049045063085,0.25436805603543305,0.0,[3]
6,2,0.028830784887546312,0.009016907012367638,2.419306432519706,0.0,[1]
9,2,0.03060871072346305,0.0062988822307042764,-2.462479875287463,0.0,[1]
10,2,0.03173095399185433,0.0062761059424214696,-0.19756372891837293,0.0,[1 2]
11,2,0.032411119140342115,0.018049239976218,0.36443658672037677,0.0,[2 3]
13,3,0.033280199735102545,0.0054655856903023875,1.695209434161731,0.0,[4]
18,3,0.03704622985800132,0.008443547856296977,-3.017997673845595,0.0,[6 9]
21,3,0.03770971067047024,0.02449246061588295,0.2076756669845919,0.0,[5]
40,3,0.04385666502010277,0.017271963839410653,-0.21440990578063035,0.0,[ 5 10 11]
23,4,0.0383066173172284,0.008538187584736788,1.307369787745646,0.0,[13]
36,4,0.04239937418174933,0.010718030773532299,-2.8232554672348193,0.0,[18]
63,4,0.054887464307676326,0.026497445407179826,0.0573936476325771,0.0,[21 40]
43,5,0.04578132885200015,0.015054930196094227,1.3966917468100133,0.0,[23]
91,5,0.06060021848669883,0.03196434099522537,0.06250118277611083,0.0,[63]
114,5,0.06548565077819113,0.016168539537309085,-0.9640865978288035,0.0,[23 36]
106,6,0.06380264949254866,0.030439385468716315,1.410605075218375,0.0,[43]
194,6,0.07785703840747027,0.019517086078486835,-0.3892000449410358,0.0,[ 43  91 114]
168,7,0.07453470854936839,0.03968121051833957,1.3455781764604298,0.0,[106]
275,7,0.08655034769381631,0.02197134449421542,-0.7680497173364758,0.0,[194]
228,8,0.0819141676356806,0.033974507714032154,1.2673509813986603,0.0,[168]
348,8,0.09478143924137039,0.021415247269974968,-0.9671920298886372,0.0,[275]
350,9,0.09490025190780715,0.03512269337182863,1.0279448689065527,0.0,[228]
442,9,0.10166000070257875,0.02540459370658692,-0.8122717776714675,0.0,[348]
523,10,0.1069590257836528,0.044781770664471435,1.167601164991423,0.0,[350]
526,10,0.10722204623838538,0.025194736438070096,-0.9859530493720645,0.0,[442]
570,11,0.1102531951954483,0.026209442253185694,-0.9857186106888437,0.0,[526]
635,11,0.11389504554737795,0.04044681613464568,1.1038703245638186,0.0,[523]
848,12,0.12425260128588589,0.038119704596875144,1.1083470361573449,0.0,[635]
1064,12,0.13517540021478813,0.028745834203449474,-0.8835953315674696,0.0,[570]
1104,12,0.13685873175288543,0.020699728429850926,-1.3782223294991027,0.0,[570]
1030,13,0.13359977266609646,0.03574095747056338,1.3316472636397292,0.0,[848]
1308,13,0.14557538472838127,0.01802834676606323,-1.1592553204506169,0.0,[1104]
1428,13,0.1497942335859983,0.02237635583564501,-0.6255960788970416,0.0,[1064]
1476,14,0.1511150023209411,0.019489859334068965,1.1749427286995586,0.0,[1030]
1570,14,0.15456262562433876,0.015468372132676173,1.3669998705184263,0.0,[1030]
1760,14,0.16044937214003308,0.018364992898557465,-0.8011522546465304,0.0,[1308 1428]
1900,15,0.16457550353555128,0.007902212332502313,1.573772449502277,0.0,[1476 1570]
2013,15,0.16778642535075483,0.013442701923446983,-1.0761807146106885,0.0,[1760]
2351,16,0.17678161296990957,0.0139602387327088,1.9806659593466402,0.0,[1900]
2354,16,0.17683894044426296,0.005772405365449398,-0.5639878792854895,0.0,[1900 2013]
2531,17,0.18170923693783403,0.012702303030016546,1.9082247702026198,0.0,[2351]
2722,17,0.1867286199776852,0.0065257079965381085,-0.3934370763463729,0.0,[2354]
2733,17,0.1870521937153663,0.006757520260132023,1.0289857942397513,0.0,[2354]
3002,17,0.1928316270355912,0.008376771160616013,-1.999631112239535,0.0,[2354]
3158,18,0.19603635584417678,0.008983846635644823,2.520507788952822,0.0,[2531]
3214,18,0.19748251388395655,0.004415181379544914,-2.250387247205441,0.0,[2531 2722 3002]
3240,18,0.19803188703760954,0.008314103744934954,-2.791272809077662,0.0,[2531]
3316,18,0.19985709721531453,0.0047793610786484204,-1.0264676140273459,0.0,[2531 2722 2733 3002]
3372,19,0.20087518645207336,0.005375035981022936,2.6663652667699473,0.0,[3158]
3740,19,0.20776895083087743,0.00820771067081978,-2.5640111748898082,0.0,[3158 3214 3240]
3754,19,0.20806491509854896,0.010526886139533247,-1.0790804368878237,0.0,[3214 3316]
4433,20,0.2204526131284531,0.00883957675941793,-1.1333579683277983,0.0,[3372 3740 3754]
4605,21,0.22359430483401987,0.010896164334224419,-0.9615988843147987,0.0,[4433]
5909,22,0.24241219351606313,0.027535986315857398,-0.6322407303351405,0.0,[4605]
6256,23,0.24730385022763424,0.028400612216050752,-0.5480894450599436,0.0,[5909]
7196,24,0.258879526806161,0.033233213070623525,-0.4884931285197318,0.0,[6256]
7604,25,0.2641238008696104,0.035991006378007076,-0.43379208581704737,0.0,[7196]
7633,25,0.2645084558557297,0.03281957995365275,-0.36397730439900944,0.0,[7196]
8885,26,0.2773731648373373,0.03107065056705125,-0.710695281128447,0.0,[7604 7633]
9518,27,0.2839694790831603,0.027740129380076146,-0.881011439152898,0.0,[8885]
10726,28,0.2956162660355497,0.038004232235630944,-0.7322627188639678,0.0,[9518]
11177,29,0.29995888984407837,0.035245133253934705,-0.7355441346458632,0.0,[10726]
12076,30,0.3080751724539812,0.03126481992344645,-0.7452881522393026,0.0,[11177]
12881,31,0.3148453935154797,0.02982314147624686,-0.9442501809210337,0.0,[12076]
13960,32,0.32309963119370255,0.023151277694053153,-0.8045256195934807,0.0,[12881]
14331,33,0.3258543792596892,0.02415341458785085,-0.908915671791779,0.0,[13960]
16753,34,0.34303357030855275,0.04054162236459297,-0.8080159159349604,0.0,[14331]
16846,34,0.3437229693175974,0.036053804427562675,-0.6310334873202025,0.0,[14331]
17088,34,0.3454497551827783,0.03168202747948029,-0.9358467270343102,0.0,[14331]
17123,34,0.3456594776863078,0.036989651632479977,-0.8434846605620265,0.0,[14331]
18161,35,0.3523505800316932,0.03668224792767128,-0.7963869864054509,0.0,[16753 16846 17088 17123]
19884,36,0.36293870865121625,0.04374912058011878,-0.684285133682425,0.0,[18161]
20286,37,0.36531807480354894,0.0436967930925913,-0.7150446753501725,0.0,[19884]
21242,38,0.3708205354547156,0.042298099511838376,-0.706179658357369,0.0,[20286]
23587,39,0.3834527628481411,0.047073642039078545,-0.6682721783140276,0.0,[21242]
24275,40,0.38725787831910774,0.04962068954108166,-0.6766730344493838,0.0,[23587]
27868,41,0.40516556015169913,0.03455741565939552,-0.750143716533643,0.0,[24275]
30721,42,0.4184990744163073,0.024892949314106027,-0.6277765204014163,0.0,[27868]
