element,level,t,r,theta,phi
0,0,0.0,0.0,0,0
1,1,0.03904488736196521,0.03686384616194759,-2.3995192190064616,2.822820829269319
8,2,0.08041861989488419,0.02630414604990623,-0.5971816008395865,2.2686344316127025
19,2,0.10076165800545389,0.0563254496275206,-2.900076660589556,1.943079786732428
24,3,0.1033979473636476,0.04240557952945478,-1.2052477042660767,2.201627550393023
44,3,0.1173114222806122,0.010782304486317895,-2.983609447996,2.1441258306496196
59,3,0.12410929917769487,0.04034229703124787,-2.0531185435691772,2.31583333706721
71,3,0.13162017935453285,0.04245916089292637,-0.8334986733295456,1.3564113257432013
76,3,0.1348675702827392,0.0720533354707974,-3.044310679626404,1.8615608079372676
110,3,0.14993145745213787,0.09160294053118462,-1.086052990168192,2.3176801798497384
111,4,0.1509556691503381,0.05724220889548759,-1.6790612296773748,2.7515905541823766
126,4,0.15581085554708107,0.06693025578193967,2.99619090722368,1.914271058450912
138,4,0.1616765020363895,0.024194478274488593,-1.9511735212204664,0.6917924437747095
142,4,0.16249730465775147,0.07490172013594319,-1.697230652973983,2.251968540836853
182,4,0.17219394820986278,0.10804573999955938,-1.1829495637061231,2.2284745926138467
189,4,0.17312434242036068,0.06369133071980135,-2.6528136286270514,1.931698926212214
217,4,0.17821859211802837,0.10601814203377469,-1.3764823470996956,1.716528226800802
247,4,0.18420913511565218,0.10840632756323278,-0.9303024755199354,1.7953762223103598
257,4,0.18541017300462503,0.08345533828219649,-0.8487218247292636,1.7494304465190993
290,5,0.19229220210903597,0.09797444960713965,-1.085881069719838,2.3473093529071036
366,5,0.20368043380643608,0.08635745322576442,3.1193443386620996,2.2681893158892747
377,5,0.20524046984828515,0.11667432700165749,-1.3984651529288412,1.8242822799196035
378,5,0.20535387657624737,0.12041958139119638,-1.1845699733797252,2.2931035051929656
386,5,0.20634847713456306,0.044894428309848224,-2.640962944917842,1.5041492592235481
398,5,0.20820819760714804,0.1242221259380574,-1.2451987238761713,1.9731053628662065
538,5,0.22754809850116053,0.10868154726447325,-0.7955708270297637,1.5589684289744425
602,5,0.2324883578777892,0.09448041137731181,-1.2181737702420665,1.8357907292211144
607,6,0.23278778369140973,0.08718518701735063,-3.132149658218747,2.062415753753652
716,6,0.24326964658988914,0.060082214997251256,-2.5352472189412323,1.2124544062858358
1108,6,0.2706116233617937,0.10930152143003599,-0.9449348565270574,1.9053136082346889
1142,7,0.272794946154325,0.06090521730904645,-2.3984713304095644,1.4856773013658315
1445,7,0.28900695625772865,0.11437795058851337,-0.8959021265224056,1.9036024142871508
1619,7,0.29769835147024026,0.0976179160379809,-2.619505680086842,1.6917900370791172
2109,8,0.31928523024451594,0.10296846077298998,-1.0400741271003329,1.7275143989803008
2566,8,0.3360341067983218,0.11233926598938433,-2.365988211264871,1.5940047762368976
2405,9,0.3302520102724691,0.10074318370695291,-0.991657833812667,1.7298294504462606
3240,9,0.35626398088929523,0.11638485294425864,-2.460421545276222,1.57751583782591
3420,9,0.360849210460215,0.12200360172349947,-2.40238096428698,1.5934441843973144
4170,10,0.37752466142685814,0.10006822541495253,-1.2538574982362205,1.6366162571821823
4361,10,0.38161893485295995,0.1330910058162177,-2.447377420537313,1.478271786744743
4759,10,0.38987729779185876,0.05847165605253713,-1.2146434175518257,1.2602532898168066
5475,11,0.402814782403211,0.07822827817725402,-1.2977726082423966,1.7475591724418793
6187,11,0.4163460736945709,0.1226578909511865,-2.192177371885905,1.5252370452767594
6528,11,0.4220514408237823,0.042265657223836475,-1.3229284447963872,1.381045918327489
9013,12,0.45633654129586243,0.03015935133791563,-1.5722349764795858,2.06327354591502
9025,12,0.4564547929168451,0.13089248953977914,-2.114350187613915,1.632589524018817
11914,13,0.48826168847410745,0.14810733641415524,-2.2452592987600135,1.7447039468555645
12535,13,0.49424863522310636,0.061521224035259094,-1.5779102427055207,2.3970363021481815
14166,14,0.5107654240387216,0.0576683180972188,-1.5382112121435683,2.4270293022501845
14527,14,0.5143384620451723,0.13608475416965715,-2.3555474758629287,1.7430319907862082
16825,15,0.5404302262750913,0.137130577417168,-2.4698339091459975,1.7846172875841648
18295,15,0.5594251287616494,0.0450064000739949,-1.1260009374475926,2.027730730313655
18042,16,0.5558513008801657,0.13619983320541118,-2.3685040955265353,1.8063046816015713
19058,16,0.5707388579857408,0.05349471065635913,-1.086009354825105,2.105064683425458
