element,level,t,r,theta,phi,pred
0,0,0.0,0.0,0,0,[]
1,1,0.05669626768051006,0.056086322128635756,-1.362282099155738,1.8187492307455666,[]
4,1,0.08194802729927575,0.04627111756697807,-0.044918842835564105,1.6033323424989403,[]
8,1,0.10383812341182508,0.08648478838891173,0.11172765647814557,1.2656583772330545,[]
5,2,0.08211268448198872,0.043316502862420746,-1.10819033937738,1.6535746604541433,[]
28,2,0.14168439973910285,0.09224792397398761,0.3247112855557178,1.36918639250485,[]
18,3,0.1284733464767398,0.06403398302419089,-0.7546716999810129,1.4385801216133018,[]
39,3,0.15661597291829965,0.06379164645021954,-1.7675747777158592,1.582516391804532,[]
59,3,0.16906065811756876,0.10810188442398927,0.4540709353207628,1.335869225475554,[]
67,4,0.17509464140128206,0.05940317989959608,-2.017589949111808,1.5146803316262871,[]
112,4,0.19994491871329956,0.08352243743227103,-0.7866405313548079,1.2193076541392605,[]
113,4,0.20033878459638155,0.11391054080591327,-1.1233350725484708,1.7812659985599102,[]
133,4,0.2065090938896612,0.10103116139774773,0.29600370566966305,1.3968319474965454,[]
152,4,0.2134989962810364,0.09058973037589173,-1.8143829075437352,2.149503148991218,[]
182,4,0.22239274196492087,0.09895618917031694,0.7020223865365313,1.0495370440776006,[]
184,4,0.22373425808622482,0.12537342157833437,0.40337477110828635,1.117911493634484,[]
179,5,0.22141238689659126,0.12649510262519578,-1.1049223892522755,1.6473330034527438,[]
232,5,0.23640824873594857,0.10669709681396301,-1.5985543959667579,1.3717103268182327,[]
237,5,0.2368719496095153,0.10413635372373302,-1.1819766329094579,1.675077602066695,[]
263,5,0.24380675507040983,0.09706489681343672,-1.5205839350880268,2.0918413333228196,[]
302,5,0.2535102321115923,0.07622746744895666,-0.32769821481248396,1.6759389237237952,[]
479,5,0.2797814114431505,0.06771476909590321,2.5571356679493524,0.8450324155098914,[]
510,5,0.28601005693489545,0.11044177580348645,0.7480321177531295,0.7941436777537656,[]
532,6,0.29017748662017984,0.07100454669974898,-0.379910878357589,1.7265113217641654,[]
742,6,0.31643999146913027,0.06724991023210697,-1.2862447541939255,1.8588760700092926,[]
918,6,0.3319971242376557,0.09487856515259493,1.1575555987563377,0.652997240236758,[]
1124,6,0.34980538066903033,0.07832374208487204,1.227083708887237,0.5178255526748452,[]
973,7,0.3372002868469165,0.05735846917993605,0.271305846502156,2.0930086325026647,[]
1072,7,0.34552212696932605,0.062475301447571165,-1.188020857453599,2.113971203870869,[]
1201,7,0.35693574792276717,0.04572695904645213,-0.6624065432982617,1.7709466847179582,[]
1385,7,0.369937389454308,0.06608627676196846,1.0455994560062472,0.40481027365729244,[]
1940,8,0.401699074079783,0.049224098593741314,-2.112335207637473,1.8466254504047197,[]
2046,8,0.4064042166669688,0.040917612343990224,-1.518800112682462,1.5085449705682028,[]
2283,8,0.41795557209252965,0.020697189486549267,-0.16584712717759484,0.14438915864068108,[]
2352,8,0.4211665935036556,0.03946791589458095,2.9625385823264274,2.5137568803670405,[]
2390,8,0.42294042430932066,0.03379203648521591,-2.857012110831772,1.4781495973299554,[]
3007,9,0.4492497304782379,0.04515164532938054,-2.946195418365796,1.2410728024833755,[]
3533,9,0.46819647749135285,0.03203161534237665,-1.852686459586739,1.9477588699909014,[]
3837,10,0.478525576436691,0.05843508750825868,-2.6861613077926547,1.2882936513465393,[]
4105,10,0.4866486170225901,0.06413898635079243,-2.351791071579727,1.1081410699607412,[]
4355,10,0.4935830991285096,0.028102767219816673,-1.413979402138861,1.727571455764847,[]
5919,11,0.5406016306413345,0.04600862774156462,-1.9270992378403227,1.1972785857035435,[]
6498,12,0.5625153742311665,0.039793781883752946,-1.8555361626941314,1.448855946166755,[]
7240,13,0.5974384840297686,0.06633270373846299,-1.93635239063028,1.4489757653176354,[]
8103,14,0.6526051036826135,0.09910992565061809,-2.106522962311082,1.0348586294279165,[]
8301,14,0.6723777583988977,0.1149796782503083,-1.5104315372887875,1.112316305321057,[]
8475,15,0.6901700289539003,0.12800659621050745,-2.0692093257036692,1.0526024687608286,[]
8594,15,0.7040277124187785,0.13377375759606938,-1.5600399658195314,1.1247804239059078,[]
8659,15,0.7114632781942704,0.10258688983780231,-1.5089410429108006,0.9904719273549704,[]
8857,16,0.7464913760761889,0.12373542597463213,-1.7963148796453343,0.9720985613593829,[]
8976,17,0.7768919397617813,0.11067376682720982,-1.5806629479898489,0.8626410142937534,[]
9055,18,0.8045534000281961,0.09546629427628094,-1.430078944833703,0.889447313295628,[]
9156,19,0.8975900900005879,0.0694839211007914,-1.4942640586828158,1.7039593506342274,[]
9163,20,0.9283247968719669,0.055774082033872935,-1.6067393880329195,1.582784775006879,[]
9164,21,1.0,0.0,0,0,[]
0,0,0.0,0.0,0,0,[]
2,1,0.0861194479089813,0.047990888015390115,-2.798983662815101,2.0485361305705547,[]
3,1,0.08841503602299039,0.07222610899119929,0.4403641493009107,2.7375567202149393,[]
4,1,0.09200022890015447,0.08991381535207801,0.4104543808071646,0.821911074504639,[]
5,1,0.09536344032091737,0.08789927917626582,-1.135797520462653,2.17659552555797,[]
7,1,0.09908515990522593,0.08588667592538753,-2.5894106952296188,2.5331755453088496,[]
8,1,0.10729423981122832,0.07481245399336649,-3.016698778141149,2.740967641114841,[]
15,1,0.12153908472740582,0.07035507290413062,2.446458356340143,1.4205719052553087,[]
21,2,0.12999670811264452,0.12278301628203311,0.4981291661649352,0.9177098000680085,[]
23,2,0.13364728530723957,0.07162587687188744,0.5042912400014646,1.0816246989413305,[]
30,2,0.144105455545823,0.0846882942155933,-2.3426849087986756,2.478829595833313,[]
35,2,0.14799077168332875,0.09636883004627672,-1.870072802501197,2.593215425192797,[]
44,2,0.15787883525957924,0.12197623272501854,-1.219031932253982,2.5665258501005828,[]
51,2,0.16223193588776175,0.05775885445579579,2.6238008238847956,1.8173715899890905,[]
59,2,0.1687024572256295,0.12400601757639111,2.629060767208662,2.812240530603357,[]
56,3,0.16696094929065075,0.07469352356521938,0.38016314117159633,0.9808383967654236,[]
81,3,0.18035023245413884,0.16946530480658809,0.5523410096262173,0.8986515322379849,[]
94,3,0.1891925018095436,0.11773390012216048,2.6490213233176862,2.683796872568164,[]
115,3,0.19688573947756016,0.10366266108933342,-0.71090723810206,2.5608037730131685,[]
134,3,0.20243235131017745,0.05232851794625764,1.2042379209533627,0.5404178692974745,[]
140,3,0.20638892746228676,0.1369924998664651,-2.7310496324966507,2.5677392057803377,[]
157,3,0.21180510390536988,0.05646126790894412,-2.780964769341694,2.2719243549783887,[]
171,3,0.22008041100307063,0.10525567005875293,-3.113809752544128,2.4274072479582838,[]
176,3,0.22151934283418306,0.12840345538697318,3.0889692705483927,2.308973854147453,[]
204,4,0.2320887252658792,0.03843449874074723,1.4060147920499784,0.7186207552101499,[]
207,4,0.23339379775958857,0.10219806339589704,0.09067056657237944,1.1333056606056033,[]
