element,level,t,r,theta,phi
0,0,0.0,0.0,0,0
1,1,0.03151648446467348,0.03134808561527119,-1.8342651425155945,1.2612725784316874
4,1,0.057667622242337235,0.032806732563544765,-0.9546868152373836,2.515461903621205
5,1,0.06096997528636672,0.04465577845156341,2.497245386073296,2.6166466954361653
8,1,0.06648483975157826,0.01838440518114697,1.1770860745590521,2.6717398683208855
3,2,0.057436919710083134,0.03362254789989562,-2.169517451843541,1.565478540469613
12,2,0.07364715385157672,0.03579162285754767,-1.2906107593976537,1.8069754402813125
15,2,0.07684225740100159,0.061522771013790174,-2.114411912721242,1.3181191521403823
18,2,0.08028179790640233,0.059252575258805264,-1.0957956347461197,1.654501381264963
29,2,0.09272914226900242,0.03687014624186171,1.3911149593743737,2.4109194887207996
32,2,0.0939213881250962,0.02100886022938398,2.336520861180128,2.7440516871426177
27,3,0.09105420256106866,0.05279296050509902,-1.6911421488626437,1.823282734391961
52,3,0.11161917452018622,0.02884456921229035,2.646032967137355,2.2498857673594754
81,3,0.12312987404801579,0.08155602205812516,-1.281955488222757,1.2430349563277843
83,3,0.12464751135796825,0.05056750195986484,0.940744679941422,2.1096735134954185
107,3,0.13476444746839067,0.07323982871476734,-1.7463962465046436,2.498629441656588
110,3,0.13585554032594616,0.03326450629290915,1.0308705017129136,2.315458529874538
162,3,0.15089572283561892,0.1302553372440544,-2.130166835779841,1.588314437185308
96,4,0.1293987253633362,0.042101696844216344,-2.457449943170833,1.7726568048259188
105,4,0.13414173773736204,0.06944251760214605,-1.1753403309925423,1.6797005374717675
123,4,0.13896603590567325,0.08032958214690948,-1.5221784991726026,1.6253308154926933
149,4,0.1456894661284156,0.06811900166081686,-1.428428923554091,2.443700271363584
193,4,0.15720576673704845,0.061811465262929015,2.4572274302060784,2.332994983711033
195,4,0.1577170576817679,0.03538680762904418,2.8933892950133457,2.1981381690705977
197,4,0.1581812405660027,0.12599328246830335,-2.157375841566178,1.6060946924389394
198,4,0.15826841276992287,0.11070794742771584,-1.2140801100810696,1.0602245897034823
249,4,0.16757625849278013,0.09708831816385215,-1.5389996070660812,2.5357010777887545
251,4,0.16925854153095998,0.02272181422695191,1.6281355138215854,1.262985929234163
373,4,0.18682280964809128,0.1340391160045958,-1.9825357438022757,2.267361328068451
207,5,0.15985420781473092,0.05132572629746553,-2.472951593541219,1.3570751056052102
281,5,0.17508729516908228,0.06377643842291404,2.3887283169111577,2.2049250759620076
290,5,0.1762187471297585,0.08701691261051794,-1.0567408759676626,1.5112406129359917
302,5,0.17782133414802792,0.03738787465871843,-1.4418105911587447,1.3840414107233694
305,5,0.17868559179693055,0.04929807665100333,-0.9643501322561518,1.670053272389006
313,5,0.17981836010468422,0.05808479455279692,-0.5031973077168073,1.9182774404225942
332,5,0.1823707354426478,0.024032040288198768,-2.3284290148523135,2.4232541582256233
336,5,0.18287548907737783,0.08745084651171196,-1.1372199766387046,1.5897526301611316
345,5,0.18398361579164257,0.04813048551266542,2.9672825236178397,1.7353025499930799
346,5,0.184165522237282,0.09801886451646234,-1.6008999387252578,2.662542743653826
399,5,0.19001317531730444,0.13759509991458488,-2.03606760594316,1.5457723269196788
402,5,0.1903111762256844,0.09100593083288483,-0.9571253165933981,1.1510749116851144
404,5,0.19049199553748775,0.028047484956972214,2.0062001932594984,0.8162982607211746
417,5,0.1913750019612408,0.12142276231073497,-2.270560902107761,1.4927397560121753
817,5,0.22739184648116528,0.15822681740988012,-2.2247687037794828,2.255003778172805
520,6,0.20119216253400396,0.05394863250512241,-0.3634525222473842,1.9547577143805182
552,6,0.20519745545138357,0.07380240971268219,-2.3896510642420923,1.2390516197233723
559,6,0.20568843160599326,0.07754652637062298,2.0983565633671284,2.3846355080958332
626,6,0.2124175908966046,0.12034946682186254,-1.5708490154741546,2.5063430228799315
684,6,0.21691151134170394,0.025352310276574558,-0.951642510852414,1.2684913672736808
685,6,0.21695876171347106,0.08907678172458915,-2.0657118519374733,1.836211349969333
735,6,0.22142877557294238,0.06516452765664127,-0.8598716973741565,1.3139068397247813
736,6,0.2214672007357621,0.10345637585823417,-2.150402081794236,1.5070289544587765
742,6,0.22171744935045823,0.13429789707663037,-2.074898829674509,1.3333819862277316
882,6,0.23161433220127958,0.031082996203816125,3.0203458795704843,0.5262767222624021
976,6,0.23701766625132303,0.10708999440195759,-2.4237496714597944,1.2198270595872622
1085,6,0.24252712331834125,0.17038120437557286,-2.2866217848452104,2.257404900608898
1113,6,0.24444574072955805,0.16252935389756568,-2.0519395401951543,1.6124584622825548
1321,6,0.2554219718788733,0.13496883927433795,-2.062783705163883,1.711739547878516
894,7,0.23260095324683938,0.1207713457545829,-1.5838692256247027,2.4340420638073197
979,7,0.23727036375797605,0.08591900669890684,2.1826761169388127,2.056876818313038
1130,7,0.24544842260495037,0.07549906854261189,-0.7320100058483892,1.1486074835323632
1136,7,0.2456618315856245,0.03160137837202563,2.6535098661313405,0.8261020182351523
1170,7,0.24786313574743934,0.11709368057902672,-1.9148096478475678,2.3142214250571502
1246,7,0.2517863983810612,0.09363198111490545,1.9571078598770073,2.229341260675387
1365,7,0.2575525126401913,0.1172780891118167,-2.3775397995864256,1.2551644820251737
1405,7,0.25920147591463083,0.14067183336811317,-2.1997296849613885,1.4063032416988153
1437,7,0.26049420272197843,0.06375969743763933,-1.1042536209154756,1.6700929484521085
1568,7,0.2665931801378436,0.16182244505072255,-2.1897244426662907,2.1917274639129003
1730,7,0.2729166870456363,0.13261152376108645,-2.043564439270672,1.678458482639268
1937,7,0.2805990524518943,0.16158754955892038,-1.9791693544866562,1.5240348615475119
2244,7,0.29115667508043785,0.15280924857907272,-2.0461360633628334,1.5474741792941882
2289,7,0.29254902989372567,0.18067274137504535,-2.3110072691841097,1.4575134056565575
2324,7,0.2937280264491995,0.17247115935173063,-2.3819704974877793,1.3870638296060438
1616,8,0.26873051668428427,0.11257455016922796,-1.9482750330549015,2.439833803866703
1620,8,0.26885823757512606,0.10336009775850603,1.8812584413857183,2.199211625622486
1863,8,0.27807442680796646,0.13972947997742474,-1.8678961048905884,2.304264202118534
1941,8,0.2807063881040812,0.022783171647003584,2.7160370706403314,1.5450708560517872
2028,8,0.28338625264834705,0.054064725069843764,-0.9748906824465393,1.4462389761259469
2032,8,0.28356206674821127,0.10735852996803774,2.146234208187573,2.069749284186776
2161,8,0.28827746298646184,0.08642732271474059,-0.6253341873238512,1.350143113429331
