element,level,t,r,theta,phi,Interval size,Height,D
0,0,0.0,0.0,0,0,7854,10,4
1,1,0.5253989987004914,0.35937719912563126,1.9599253216213215,2.414035036873992,7854,10,4
15,2,1.2902768353587368,0.40790309186133855,-0.9402496671459597,1.058138173152571,7854,10,4
59,3,1.7164586565526019,0.6558630894581989,-1.5411942889194148,1.2854323101043013,7854,10,4
172,4,2.2096424811708895,1.052766202030134,-1.4033303086820805,1.1052116567867902,7854,10,4
353,5,2.7079311639638948,0.8981413688216334,-1.7073837557704734,0.7145391576514862,7854,10,4
645,6,3.141936055659892,0.7878478949140282,-2.49115917959583,0.6280926256443204,7854,10,4
778,7,3.2884379291202617,0.7994948097564692,-2.321347217033941,0.6509296472917071,7854,10,4
1532,8,3.9334734615240228,0.951796432803199,-1.901064075179682,0.9625741278678551,7854,10,4
2574,9,4.472607526341392,0.9055960751956972,-1.2514770011254082,0.6112724979356281,7854,10,4
2620,9,4.495659054635135,0.8701715211946242,-2.464912962801313,1.3126843078731647,7854,10,4
3376,9,4.803398204782877,1.5284286261594353,-1.2833942513475007,0.7015482641775993,7854,10,4
3460,10,4.837576491571687,0.6167623601359745,-2.522129641669916,1.2188344994775249,7854,10,4
4000,10,5.014991527318459,1.1523139560464408,-1.000658863337282,0.6544344874897553,7854,10,4
4092,10,5.047592756665286,0.6729336208798598,-2.1655120304620703,1.3452056107457422,7854,10,4
4128,10,5.058515135970296,0.8605168403791891,-2.479228923523809,1.8755676544679463,7854,10,4
4265,10,5.100324946557295,1.372382358508835,-1.2291010908698663,0.5528396035381822,7854,10,4
5247,11,5.497366149076307,1.3870489720758816,-0.8329427721615614,0.40512696913770724,7854,10,4
5416,11,5.578467468820319,0.5738428277531403,-1.8426178312263026,1.7963722184994217,7854,10,4
5441,11,5.590179334168126,1.5925952336625044,-1.0809621269910081,0.8116935557779618,7854,10,4
5984,12,5.854990213030817,0.5259141177673065,-1.4321951615548592,2.053937602874368,7854,10,4
6069,12,5.907746651052127,1.5908078578752896,-1.2822093953609612,0.44905043103659403,7854,10,4
6158,12,5.972064432212234,0.7891770671801279,-1.4594602537697692,1.6689616268355045,7854,10,4
6241,12,6.0240757821156175,1.2870818192119546,-1.024320810536386,0.8908826334655843,7854,10,4
6264,13,6.041267776395171,1.492454615288172,-1.330989897196819,0.4318598929171666,7854,10,4
6661,13,6.32489597091085,1.2165880711407802,-1.046597385491741,1.0754355822189696,7854,10,4
6797,13,6.415229628115541,1.0020014694989092,-0.8832446227236775,1.0887464640481157,7854,10,4
7171,13,6.786302835394677,0.7472507585592076,-2.50813975902369,2.2304537170620864,7854,10,4
6921,14,6.522949369767826,1.5928706155924441,-1.2323506588540833,0.48273892032012516,7854,10,4
7094,14,6.710191091729218,1.1131042818888255,-1.4203416962000235,0.46539630337047916,7854,10,4
7162,14,6.775722177695792,0.9659968764337665,-1.8612262479697854,0.5882837258941805,7854,10,4
7196,14,6.82102874856465,1.276697390391069,-1.405041929912628,0.6288568160523409,7854,10,4
7349,14,7.0301166339761165,0.9867493260294553,-0.9844940471304224,1.358846405279386,7854,10,4
7467,14,7.234858602502334,0.6354156778698532,-2.9044897241458827,1.9666659781498104,7854,10,4
7452,15,7.214265778097122,1.0970485951440119,-2.126930638217526,0.526557027074504,7854,10,4
7501,15,7.29014993897119,1.0957468037637996,-2.690547155796394,0.6516678536757509,7854,10,4
7508,15,7.301116502420731,0.9434977204966105,-0.8895744943392181,1.4596258590858118,7854,10,4
7537,15,7.371717434324484,0.6927931873148686,-2.8485405124235346,1.9012734717607453,7854,10,4
7539,15,7.373543368122154,1.3959615552732332,-1.2736599443764596,1.0236529518019293,7854,10,4
7693,16,7.776473568458506,1.2278188986203096,-1.106727471949772,1.4405136783181611,7854,10,4
7716,16,7.858379056893386,1.0041020926847446,-3.1335686906439735,0.4191588228422334,7854,10,4
7726,16,7.89001943000576,1.1306937294154016,-1.262129139759852,1.215376107406025,7854,10,4
7760,16,8.029881330260906,0.44125188485514755,-3.0697773986005785,1.4352305696536853,7854,10,4
7804,17,8.314444701436825,0.9862254436569143,-1.1846555689430103,1.1491006474632597,7854,10,4
7821,17,8.448865311216835,0.42260861105553726,3.066362372172076,0.5570821224085791,7854,10,4
7833,18,8.613979790204445,0.8921102557060193,-0.9039776535156281,1.1893055894501863,7854,10,4
7842,18,8.938155664313,0.5006263756070739,-1.0733094108284094,0.3545945622137822,7854,10,4
7845,18,8.999778615778665,0.6842983736209249,0.48110500370142767,0.3860872511948601,7854,10,4
7846,18,9.015776605972922,0.6597347275170292,2.8060930181821635,0.9496474871339179,7854,10,4
7853,19,9.34307628208796,0.5737716653160247,-0.37579977440111273,0.4822268915693108,7854,10,4
7854,19,9.438291883022252,0.41811903290704633,-2.8916344400027842,0.465080314420473,7854,10,4
7855,20,10.0,0.0,0,0,7854,10,4
0,0,0.0,0.0,0,0,7854,10,4
1,1,0.6825710091350468,0.4401130652305535,0.3303264870653887,0.5620988155342305,7854,10,4
3,1,0.8500832875815911,0.7516292609162063,-1.6770397640810268,0.9902565612522618,7854,10,4
12,2,1.0842666657913669,0.7651966252851465,-1.9209214153471406,1.1423736244600793,7854,10,4
13,2,1.0995059810011787,0.28371264736277074,-0.10364405742345094,0.6669376365337307,7854,10,4
17,2,1.1835356364848393,0.6546207306701545,-2.0848788729866796,0.6852962164843226,7854,10,4
23,3,1.365730494385926,0.7593956887067249,-2.2937288148265385,0.9680041966425292,7854,10,4
36,3,1.585428057925583,0.4559052962147242,1.482907473168899,1.0686151645596964,7854,10,4
52,3,1.7163678465247645,0.4053136596577986,-2.114943889510327,1.194799404352084,7854,10,4
81,4,1.9067683581179673,1.237981972626128,-2.2503369298322506,0.8111326330001482,7854,10,4
89,4,1.9649359314339165,0.3054818320354887,2.4349235014279507,1.4107972655338479,7854,10,4
103,4,2.0249128711689437,0.3944404671070232,-2.5879237652819156,0.7539405180190881,7854,10,4
136,4,2.146998363019237,0.4362469671411472,2.2049742449504905,0.4479008020385238,7854,10,4
157,4,2.2154422623945536,0.7441566687685222,2.178253541565335,1.101111562863149,7854,10,4
183,5,2.2919754991936694,0.48255312357970576,2.822294052383314,1.3311314343748637,7854,10,4
210,5,2.3796754291588753,0.7168583774118598,2.2953062103246133,1.2700397266556447,7854,10,4
233,5,2.454879921445976,0.34718706167111707,-0.10338581126043224,0.34077390619049175,7854,10,4
234,5,2.4561417163630472,1.4529365862799308,-2.4153364666522528,0.9076269625416811,7854,10,4
321,6,2.6495003071920955,0.7559545397877089,2.603015836167189,1.1479146847116617,7854,10,4
342,6,2.6877821992743267,1.2642415104061255,-2.4911874959161437,0.8543557198419682,7854,10,4
486,6,2.9434328502158458,0.4406415656896987,1.8502397870065945,1.0593902787223142,7854,10,4
570,6,3.0859514011172617,0.6743449829386763,1.0839293677561903,0.36619348892508624,7854,10,4
605,7,3.1300726051496373,1.588585684951477,-2.303920457040605,0.8529657665763529,7854,10,4
1091,7,3.6253827357718427,0.48160157829992967,1.5025881456807577,1.1263968450537443,7854,10,4
1302,8,3.7887677279128718,2.0709675434884276,-2.1477027401102022,0.8659250047837994,7854,10,4
1615,8,4.00337713014793,0.5247800610694663,1.6642805723072436,1.4154523830498047,7854,10,4
1786,9,4.097251545074632,2.0497640390729357,-2.199517869228439,0.968891446921492,7854,10,4
2575,9,4.503492555603007,0.2185240541580608,0.4709351986582034,1.672891344398701,7854,10,4
2915,10,4.632604866914437,1.9441069193563663,-2.162090241118365,0.9449106936875772,7854,10,4
3516,10,4.888429520772791,0.5662827567943247,0.7786522638073069,1.9087161392592447,7854,10,4
4674,11,5.285534415224584,1.964423998537372,-2.2701322655638574,0.9823027380997262,7854,10,4
5176,11,5.494901325566533,0.9397705140978626,0.378913045894393,1.428704192543082,7854,10,4
5243,12,5.52217540265354,1.8802031588245216,-2.171133561770017,0.9775798493196048,7854,10,4
