element,level,t,r,theta,phi,Interval size,Height,D
0,0,0.0,0.0,0,0,15708,10,4
6,1,0.8139628943268706,0.7833063613289788,2.7666659647943352,2.5536528533842193,15708,10,4
14,2,1.0116603668789692,0.7953126422208895,2.4180763866470483,2.5947231777527886,15708,10,4
25,2,1.1539300706926248,0.7680176634739284,-3.125319973222945,2.463194008958884,15708,10,4
37,3,1.3235701263275312,0.9154215607261712,2.424680094567603,2.369428616747927,15708,10,4
55,3,1.4856219480612387,0.93266324692408,-2.7880055309450693,2.680339002411192,15708,10,4
112,4,1.799606959487584,1.0013196520094885,-3.115243875944093,2.5091547081334045,15708,10,4
144,4,1.8791852505681617,1.0549318453855978,1.829554640084808,2.47820978594266,15708,10,4
204,4,2.0471614309228023,1.250912754213134,2.827227789618292,2.985007760073518,15708,10,4
214,5,2.082636076690847,1.176300649000283,1.9579916082160544,2.362349569088765,15708,10,4
247,5,2.157115027834525,1.2441407040780432,3.097167231599971,2.9736448688740267,15708,10,4
467,5,2.4933036157728883,1.2903003398298232,3.031327464301768,2.0051628875021135,15708,10,4
500,6,2.529853469271721,1.3771603965388908,2.039309476647256,2.077345543987178,15708,10,4
584,6,2.6322288112432632,1.3301672275574918,1.8069806902069452,2.43648449156556,15708,10,4
749,6,2.7866351987468905,1.3655477676786814,2.945579560460245,1.852069267914298,15708,10,4
844,6,2.869515310143677,1.2353702859308218,-3.09872266120123,2.5051234004664304,15708,10,4
901,7,2.9104507641852138,1.348262485653118,2.339111082909609,2.0945103328839436,15708,10,4
1074,7,3.042467573775456,1.53737219895445,1.8212725012380673,2.6433609574543597,15708,10,4
1125,7,3.073377076126713,1.161761470957924,3.0472663482222657,2.446299077069772,15708,10,4
1210,7,3.150881597432864,1.025589073390732,2.2196959140144634,1.8856037544788844,15708,10,4
1286,7,3.1974341778270245,1.434683176471396,2.6581539589563006,1.7834044916412513,15708,10,4
1466,8,3.310001208954061,1.5785428537150428,2.0566570618315856,2.6893955105917513,15708,10,4
1545,8,3.3482977652751975,1.629502082241928,2.3362063757238265,1.954818544200467,15708,10,4
1796,8,3.4788707638909964,1.3486252404460501,2.033192240784789,1.9478792411901424,15708,10,4
1878,8,3.518559149995392,1.0305027016219785,2.514602536612756,1.9163204779233052,15708,10,4
1936,8,3.5523676409738747,1.0431563167325644,2.650800050234954,2.218590886684611,15708,10,4
2044,8,3.600771598260224,1.92322911568256,2.2338505543938076,1.9639570081775104,15708,10,4
2139,8,3.639426839998988,1.741088913985147,2.5999945222710217,2.0181404391319053,15708,10,4
2435,8,3.753855705520357,1.1995135972254782,2.732461465230737,1.9508122334085802,15708,10,4
2059,9,3.610704533035358,1.744778817989185,2.249718706073721,2.615339065406774,15708,10,4
2830,9,3.901047304306746,1.1313715644240625,2.7308138107891984,2.060968850735202,15708,10,4
3619,9,4.131121770450211,1.6290216803364646,2.3947168751967878,1.8910685817770188,15708,10,4
3562,10,4.116418475763055,1.7336223595967801,2.159129805014439,2.408609224062587,15708,10,4
3634,10,4.136043840343175,1.6212267335275479,2.196526014577569,2.3730537770336873,15708,10,4
4102,10,4.261980113504745,1.5489676706075697,2.3775306335026114,1.869886287738534,15708,10,4
4468,10,4.348935982418322,1.089280829069742,2.589946743756776,2.053196565183107,15708,10,4
5682,11,4.618988090516782,1.8781410950186816,2.4317662048369364,2.243988600431323,15708,10,4
6332,11,4.7425626982267435,1.2945994373511445,2.417822452757528,1.8651355751243188,15708,10,4
7335,12,4.922944619198271,1.823301046716639,2.3783036721409756,2.168559603507514,15708,10,4
8959,12,5.2038922623081785,1.3269190097097083,2.4495116398106185,1.7701577573345555,15708,10,4
10195,13,5.430167711622953,1.575536214506122,2.494318358933869,2.0074868899473013,15708,10,4
10877,13,5.573008141040039,1.2808587103208355,2.3312748840350532,1.6523281018386862,15708,10,4
10983,13,5.5989535545961955,1.4978680173845917,2.401790317332589,1.5378413240516704,15708,10,4
11183,13,5.645912321956575,1.8469738984087258,2.3840626028579863,1.845611939146945,15708,10,4
12507,14,6.0177485248006315,1.671296950032864,2.4035522603845747,1.6985485263717752,15708,10,4
12829,15,6.123430581920047,1.658801844592025,2.4457437688364725,1.6842404563086137,15708,10,4
14307,16,6.7563067490117925,1.405431732479825,2.24740460314771,1.4266267802087793,15708,10,4
14877,17,7.1527083950270836,1.2855204990085298,2.2909602149616166,1.3205969008956187,15708,10,4
15308,18,7.605098374025526,1.1442834732827023,2.2652849617110737,1.283542015231006,15708,10,4
15437,19,7.836753340168596,1.0326022007614613,2.3771404178066184,1.4326788273456197,15708,10,4
15604,20,8.3286758900228,0.9880871981748514,2.6953413417607566,1.6989015109207237,15708,10,4
15661,21,8.70649665194924,0.6194923981085559,2.6468829502640965,1.7915503680616176,15708,10,4
15699,22,9.079408454672103,0.43832604452925106,2.695711441232734,1.6398328753079605,15708,10,4
15706,23,9.451624109612048,0.15680923613231046,-3.0844957998915636,1.669270915713972,15708,10,4
15707,23,9.501112477870038,0.4831058480045684,-3.0867160842788834,0.9494100204171082,15708,10,4
15709,24,10.0,0.0,0,0,15708,10,4
0,0,0.0,0.0,0,0,15708,10,4
1,1,0.598826586459974,0.4735134508767883,1.1540811693648994,1.4974533247658433,15708,10,4
2,1,0.6517730762084784,0.30816312461996814,-2.0615573583208597,1.6571431651540682,15708,10,4
3,1,0.7696992843995942,0.5889779388613215,-1.0651142639340574,2.806297798634534,15708,10,4
4,1,0.8016451086678122,0.7539016904759129,2.601268229427305,3.0606220061534133,15708,10,4
5,1,0.8496501259062395,0.4438706879706681,-1.1705681042781448,0.9411006747650914,15708,10,4
6,1,0.8804818671203285,0.6405248381050919,-1.8745733385748249,1.3887135926612482,15708,10,4
7,1,0.8979428148061985,0.2322300799359024,0.10219258036532705,2.712701315932259,15708,10,4
9,1,0.9221196356079286,0.9178462615710765,1.5518136781133858,1.4244003786331525,15708,10,4
11,1,0.9872972591078222,0.9762319748505117,1.9580611215958696,1.5339929547813396,15708,10,4
12,1,0.9937817456086273,0.7837137222613216,0.4164080753459029,2.6058627964789047,15708,10,4
13,1,1.008320775651933,0.6017471168081051,-2.7432380729949393,1.7846195122501984,15708,10,4
14,1,1.0436433099569176,0.9170347049838858,1.0481493074342076,2.515025872530127,15708,10,4
15,1,1.0755130302702276,1.0595488475091186,0.2908135311506922,1.4545480005292364,15708,10,4
18,1,1.1020213372074417,0.9687148939501917,0.04257803094584997,1.905639830496438,15708,10,4
20,1,1.1231937180587959,1.0689065511374147,2.3915858866923507,2.6880503607526225,15708,10,4
21,1,1.1406288566740985,1.1399845137571107,1.6728533638927803,1.0446812421786318,15708,10,4
30,1,1.2536816473632517,0.7289897180722904,2.995972928011031,1.966773462555628,15708,10,4
10,2,0.9456400262711329,0.40013111335935814,0.8309162640990555,1.476364381023024,15708,10,4
19,2,1.1050100319045864,0.370628180725545,2.2566696339939485,1.1644083745959177,15708,10,4
22,2,1.1546299465711962,0.7987838759937361,0.6965566864612696,1.1537530093114134,15708,10,4
23,2,1.1798613082557041,0.5429090125266564,-0.3409061643968588,0.6443315131511201,15708,10,4
28,2,1.249701095486676,0.5910572413926259,0.9981615019574097,0.7269537433465698,15708,10,4
29,2,1.2501056103744002,0.39531923033993727,-0.12320028621179134,2.2002810391105743,15708,10,4
31,2,1.2676244268247183,1.1450258344561137,2.3207839004103303,2.9898332902105342,15708,10,4
32,2,1.2811901852798746,1.007206302180628,2.0883784489395416,1.6293067298423358,15708,10,4
34,2,1.303291862992133,0.7580510960354129,0.7202815739088405,1.8006185482517179,15708,10,4
37,2,1.3467814650957133,0.8807292763488198,1.973670009921811,1.3374377765969763,15708,10,4
38,2,1.3506624283624513,0.16647571434598987,-2.4106418527827262,2.1478587284032953,15708,10,4
39,2,1.3658963367723176,0.6551548243297894,2.7698119266132215,1.2918222262002879,15708,10,4
40,2,1.3740959364676975,0.7425956657428262,-1.6534362921184316,1.9371882880254536,15708,10,4
44,2,1.3991181608457792,0.6214873695961843,-2.113892975865311,2.378200062569104,15708,10,4
47,2,1.4170093815280616,0.7121314228865098,2.9295284765822807,1.320200984190848,15708,10,4
49,2,1.4334569167157751,1.1059549832414126,1.8445364306359775,1.4756876173876274,15708,10,4
60,2,1.5092935430565768,1.1742156056614248,2.365899150967253,2.4236783884708717,15708,10,4
77,2,1.6086745357727905,1.2431889941010004,1.941191215729568,1.0525068207795978,15708,10,4
80,2,1.632291511958831,1.2267586016159224,0.6934474887531852,2.3927590057769046,15708,10,4
82,2,1.647547821300882,0.6501494262821237,2.572387678221287,2.2169232212252314,15708,10,4
86,2,1.6813482295709559,1.1240989114844113,0.4957119529202106,1.6631019045947655,15708,10,4
35,3,1.3115542416787218,0.48395373955716486,0.2972062832621175,1.3006986370846807,15708,10,4
71,3,1.5661339580670874,0.9672925170488945,1.0908534139169919,0.9311106922985583,15708,10,4
72,3,1.5708027293812887,0.9028440790439286,1.2122693947760037,1.3105252768637325,15708,10,4
75,3,1.6016432257720015,0.6529838322645776,2.120066197617355,1.6175351545046663,15708,10,4
85,3,1.6760483429639794,0.45404426835440853,2.9694643156441587,1.0940671090323368,15708,10,4
88,3,1.7001401415235429,0.8213823200451217,-0.2632265134253209,2.058009890847493,15708,10,4
98,3,1.7294257549003411,0.6050932375231427,2.7665816633833336,1.3594935445112217,15708,10,4
107,3,1.760150000972338,0.5179057363745266,2.6110477556327103,0.9847374263709339,15708,10,4
123,3,1.807709932064987,0.5701759139258079,-2.3122595793598624,2.41112585812677,15708,10,4
126,3,1.8163185271512539,0.6569794981944389,1.8450326520491895,2.176064294184189,15708,10,4
