element,level,t,r,theta,phi,pred
0,0,0.0,0.0,0.0,0.0,[]
1,1,0.016832679958917574,0.012641380908989941,-0.9952069766551876,0.0,[0]
2,2,0.024240696392509142,0.015982640441362637,-0.5773819052692196,0.0,[1]
6,3,0.057284645600880424,0.022143224375698604,0.24351570248302032,0.0,[2]
14,3,0.08648997305039008,0.05378246120250741,0.5669632432264474,0.0,[2]
24,4,0.09758140072859989,0.013183969238443845,-1.835842817297368,0.0,[6]
30,4,0.10107924336070173,0.06626115031672411,0.5030089155834173,0.0,[14]
44,5,0.11708769362930027,0.013268530229819393,-1.522042787970121,0.0,[24]
52,5,0.125276611878664,0.06121954620641228,0.6390299390618988,0.0,[30]
76,6,0.14169854547553717,0.007319254793764067,-1.8856770144252102,0.0,[44]
84,6,0.14354170538081157,0.00820771067081978,-2.5640111748898082,0.0,[44]
134,6,0.160810028908853,0.08411975058362,0.9506602036980959,0.0,[52]
156,6,0.1677324152261409,0.04901025386409716,-2.2787278816460415,0.0,[44]
163,6,0.17168114198426165,0.04545781626328776,-2.077003413198238,0.0,[44]
177,7,0.17768510472322396,0.04455082135756876,-2.191425315040214,0.0,[156 163]
187,7,0.18120145927556697,0.0426581839785094,-2.0601018776596303,0.0,[ 76  84 156 163]
206,7,0.18607659373923424,0.011225088456239578,-2.352697600693285,0.0,[76 84]
208,7,0.1862877321917058,0.02970321952626289,-0.9992109218762973,0.0,[76 84]
225,7,0.19203324109631326,0.10531386904002825,1.0170898527342107,0.0,[134]
253,7,0.19991430219619988,0.054907472511182207,-1.3422516140340146,0.0,[76 84]
255,7,0.20040434721549683,0.06059759647631618,-1.214899417889171,0.0,[76]
242,8,0.19595578472725883,0.008376771160616013,-1.999631112239535,0.0,[206]
268,8,0.2034069179720095,0.11249892642184978,1.0730792422079014,0.0,[225]
288,8,0.20821595039009166,0.0337497317770837,-2.112857867605235,0.0,[177 187]
294,8,0.21053855049548054,0.02316306562231948,-0.99306088757403,0.0,[206 208]
361,8,0.22558902795693547,0.049677222273124606,-1.6310443959264722,0.0,[177 187 208 253 255]
328,9,0.21864326734427608,0.09889590346311397,1.0493077032094653,0.0,[268]
376,9,0.2288486486257688,0.01162128638379422,-1.2623187935358637,0.0,[242 294]
426,9,0.24074335987391515,0.04197128740815784,-1.7105839419395907,0.0,[242 288 294 361]
402,10,0.2363823508268874,0.10018883166592359,1.1668655753900663,0.0,[328]
413,10,0.23828612954739437,0.0982237323980963,1.0066614382539563,0.0,[328]
420,10,0.2399055727007794,0.08789376484601574,1.04821586294989,0.0,[328]
434,10,0.2427490429771786,0.09854290729423869,1.2751700495638734,0.0,[328]
451,10,0.24608791989838041,0.10811790974317108,1.0725615525895738,0.0,[328]
545,10,0.25942494414306216,0.028539086061856508,-1.3675002233938867,0.0,[376 426]
567,10,0.2620019142650838,0.003236741664116274,-2.4508842429317497,0.0,[376]
488,11,0.2500217201377338,0.0940065602684368,1.1632304333236683,0.0,[402]
656,11,0.27482719561403324,0.0732043023374204,1.3542220253734127,0.0,[402 420 434]
662,11,0.27532736422765336,0.13019577452211228,1.089654759955233,0.0,[402 413 451]
686,11,0.2784277434580179,0.01636142753187832,-1.6271474016115448,0.0,[545 567]
779,12,0.2907797230736635,0.13639901124575388,1.1329710565493545,0.0,[662]
800,12,0.2930273999189501,0.10244099902707911,1.4977078866832514,0.0,[488]
872,12,0.3011619949592389,0.05215205249265694,1.5494886357681192,0.0,[488 656]
880,12,0.3025848255719069,0.07417242125099283,1.6076587857706879,0.0,[488 656]
890,12,0.30330864146173586,0.018872524431443733,-2.2213625600678077,0.0,[686]
978,12,0.3157906258184081,0.1063725826388951,1.7168210530597785,0.0,[488]
1077,12,0.32640899706257176,0.14982980124151782,1.5780175972090822,0.0,[488]
893,13,0.30356140635012974,0.14734221292063593,1.176083532861149,0.0,[779]
980,13,0.3160124437554267,0.01710473014697164,-1.5521229929034657,0.0,[890]
1023,13,0.3199318156780774,0.05906839644344047,1.3669351770507059,0.0,[872]
1088,13,0.3275286775963361,0.09145237215910076,1.1698430281159056,0.0,[800]
1110,13,0.3298047579984843,0.14404860889383975,1.3620086094500368,0.0,[779]
1116,13,0.3302537728765954,0.09308296180804482,1.2099366753007654,0.0,[800]
1193,13,0.33790456378752265,0.098846966328423,1.6949329806529714,0.0,[800 880 978]
1242,13,0.3415171842050243,0.10206564929386278,1.7547098134522436,0.0,[800 880 978]
1323,13,0.349579669700225,0.11426630994903883,1.554910508381378,0.0,[779 800 880 978]
1395,13,0.35531291705345347,0.1488029800957137,1.767798201245292,0.0,[ 800 1077]
1113,14,0.3300884872231492,0.028101580085532128,-1.7899954074616615,0.0,[980]
1180,14,0.3367096953682196,0.04754236653467568,1.3794299853910374,0.0,[1023]
1304,14,0.3481092845072914,0.03235593697086106,-1.0533352643611615,0.0,[980]
1509,14,0.36546192781363296,0.15183211289353077,1.3717209494577394,0.0,[ 893 1110]
1538,14,0.36809162349824287,0.09981740596700667,1.671066413219268,0.0,[1023 1193 1242]
1558,14,0.3699981206236804,0.11434362342690085,1.6651510286919757,0.0,[1193 1242 1323]
1576,14,0.37167741541124144,0.1254667605057139,1.6385636366050536,0.0,[ 893 1110 1193 1242 1323]
1592,14,0.37295936656607065,0.13662234801202777,1.6248875718212878,0.0,[ 893 1110]
1621,14,0.3748085609033831,0.13959786181701989,1.666922544949594,0.0,[ 893 1110 1395]
1639,14,0.37632136649649883,0.11325290187038152,1.558038684733412,0.0,[ 893 1023 1088 1110 1116 1193 1242 1323]
1564,15,0.3707591234065446,0.024503595085770002,1.1554818105781175,0.0,[1180]
1579,15,0.3717986185269079,0.046945956523397066,-2.553138638943632,0.0,[1113]
1595,15,0.3733857353844334,0.018723201630300095,-1.603187466065714,0.0,[1113 1304]
1601,15,0.37382771956580807,0.06690830607187961,-2.2372490940403607,0.0,[1113]
1607,15,0.37419750018850595,0.016094572533243246,-0.11030610633535426,0.0,[1113]
1670,15,0.378643326482618,0.15538614234774673,1.424472023078037,0.0,[1509]
1814,15,0.3909146981992211,0.14924284167183932,1.7272090783504486,0.0,[1621]
1954,15,0.3998992295953703,0.133103351987219,1.643185444839042,0.0,[1558 1576 1592 1621 1639]
1976,15,0.40145224676322766,0.11867576684611639,1.8344845910539163,0.0,[1538 1558 1576]
1778,16,0.38823935325204706,0.06402473187978217,-2.365326095112742,0.0,[1601]
1795,16,0.3889600141466365,0.042938963802219385,-2.707389749014683,0.0,[1579]
1835,16,0.39203045607672704,0.004328676508420524,0.24537561905128197,0.0,[1607]
1912,16,0.39698978655499917,0.025116725909160066,-1.614135575030531,0.0,[1595]
1914,16,0.3970676513016458,0.008770170135579135,1.8314248188100004,0.0,[1564 1607]
1985,16,0.4019312545679613,0.16687123966650436,1.4760527875601306,0.0,[1670]
2214,16,0.4169736256896389,0.13797624898419325,1.7208793404171112,0.0,[1814 1954]
2282,16,0.42046277111208985,0.12140459648941987,1.6872871968171164,0.0,[1814 1954 1976]
