element,level,t,r,theta,phi,Interval size
0,0,0.0,0.0,0,0,654
1,1,0.036344291557410924,0.022770962917470154,0.7803302154975055,0.7708054572567715,654
7,2,0.1787677303379237,0.07789878692344025,-0.8285814016220691,2.8444533938513628,654
24,3,0.2321895109323341,0.06882710467399451,-0.8012550167205427,2.5251796130298794,654
118,4,0.37449290536980384,0.1505818037609054,-0.2580203887200546,2.1125815224448554,654
278,5,0.4720043156682213,0.11520073430647156,-0.5882644145708728,2.1253749646854256,654
461,6,0.5620041623375577,0.10431746344221235,-0.7066115171794727,2.23224476149828,654
598,7,0.6732686589126446,0.1592492304393694,-0.32510135361005915,2.4744274441013903,654
630,8,0.7323560458338217,0.16878650803328799,-0.5312763797217644,2.7169024203592405,654
652,9,0.8394537646081743,0.14507282729270085,-0.7613916407297374,2.4011800097763287,654
654,9,0.8986435212472197,0.0911540665931881,1.7865291057173227,2.261882077629782,654
655,10,1.0,0.0,0,0,654
0,0,0.0,0.0,0,0,654
3,1,0.16737188097565014,0.11212563022678275,1.9157257499712426,0.5746432971294013,654
17,2,0.2395424998658625,0.042605806545580896,1.4852683031642984,0.5150491066844541,654
54,3,0.3139542227420272,0.0993684764846783,-1.7127604367174953,0.16056738767102546,654
144,4,0.40872749879222947,0.12115443785012739,-1.367163320714132,0.850183888577639,654
330,5,0.4975965695091583,0.10715334393092615,-0.7316649619574901,0.567192075418891,654
505,6,0.5856552650395423,0.11976032723881126,-1.2438557817824196,1.2088910172877794,654
584,7,0.6613064195742863,0.16390078324452298,-1.6050780299823462,1.4647937156544282,654
641,8,0.7751538398257014,0.202722469352331,-1.8883523152766348,1.9440268987800398,654
642,8,0.7776561027087381,0.11327525637005802,-1.4089373237177603,1.9528598231942338,654
646,9,0.7975366218002922,0.1945000830824518,-1.9110056604610526,1.926747489958806,654
654,9,0.8581171270873579,0.06201359796898022,-1.982155093890576,2.5831365416050436,654
655,10,1.0,0.0,0,0,654
0,0,0.0,0.0,0,0,654
1,1,0.07104502150282999,0.05029612908954615,1.465543110136518,0.9308894873782958,654
2,1,0.07882422751154838,0.04956217696072678,-1.8015909410382098,2.11857469097837,654
5,2,0.1765602350546508,0.11355140915241603,0.9870812682418335,1.3437880015919657,654
6,2,0.19797756669408562,0.1160246236290481,1.2825650866539675,1.1228903044055176,654
9,2,0.23364067543128175,0.1952501390054433,-1.5385070613598428,2.17272578352886,654
16,2,0.2577849776683112,0.1717535312393944,1.6584078238956106,1.379535033576693,654
41,3,0.2966424760961095,0.15616410708118106,-1.7065597531916201,2.032359980573591,654
46,3,0.3099387300604717,0.15379462868869728,1.5088196934895624,1.5597372652648576,654
134,4,0.40025183024712063,0.12152021487093875,1.3244402499570618,2.0742218249745425,654
142,4,0.4033106954611897,0.07230572793782199,-1.4557413363430385,1.6130908254902798,654
305,5,0.49103379044147666,0.0868442333870901,0.7232979447033958,2.7145388969204296,654
324,5,0.5036320159499057,0.10491803492708777,-2.2148778419965574,1.7781064362669905,654
496,6,0.589840973346171,0.04535102168743032,-2.2168138113889975,1.064865679750164,654
524,6,0.6136349158865646,0.0722486215800568,0.5702694529630192,2.0363536563163454,654
590,7,0.6852875168544941,0.045924007577593046,-1.7417795239897291,2.722101409573211,654
607,7,0.7040198277412175,0.06541935815349854,-1.5108037801672731,2.6392853863185315,654
642,8,0.7583589856473509,0.09209009660144715,1.920002372544412,2.810204553571588,654
646,8,0.799016899804836,0.023587475561347153,-1.0137168386027255,0.4554520022068535,654
650,8,0.8616612315001371,0.06347882266165936,-2.476018824188735,1.8041296773597701,654
649,9,0.8559120903124614,0.13955155582210352,1.2528767716338098,2.329011604756177,654
651,9,0.8762476314289889,0.11449905475067407,-1.0857782805233536,2.3551694714031024,654
652,9,0.8796182633952329,0.04795809915858641,-0.42734388028479875,1.5950546582225011,654
653,9,0.8968238293564379,0.07839502931314105,1.2012061306715205,1.780103520467771,654
654,9,0.9421323919367833,0.055159830993003645,0.8803753855643434,2.9916174065867613,654
655,10,1.0,0.0,0,0,654
0,0,0.0,0.0,0,0,654
1,1,0.07660774737145659,0.061112685167883776,-2.5909383412783207,2.332063001444448,654
13,2,0.22613354889517678,0.11947398060162912,1.2103053836970747,3.0242383706174865,654
48,3,0.29647565834038236,0.14149539538948724,-1.1391752248873743,2.851376475390509,654
87,4,0.3652801443603909,0.15416195278134245,-1.4899275397801002,2.9741135884690264,654
118,4,0.38667298231939606,0.10425222640720269,-0.715895024380713,2.738516415117828,654
252,5,0.4661051679487477,0.22708936671788935,-0.38119384500130715,2.752294945722927,654
262,5,0.4708730181606122,0.06877831008597422,2.9446098058333883,2.6935034033224836,654
298,5,0.4890206445169041,0.13783737854885902,-1.9779624108148766,2.422447423484657,654
505,6,0.595933561559736,0.1110603899932128,2.675710483610318,2.056779527286666,654
528,6,0.611175955441315,0.21084192403814533,-1.7059923386780236,2.1129678873203197,654
558,6,0.6405849790680014,0.14981913008636896,-0.7931120946508632,2.4509289418359743,654
571,7,0.6546133167113833,0.1059366530937025,2.8526935062593433,2.240067451611316,654
595,7,0.6821092479490265,0.19169555823556614,-1.696815538180545,2.094108531663358,654
604,7,0.6964382785452562,0.1950209000537203,-0.7240683769244307,2.3654753627942084,654
616,8,0.725061003621721,0.23324098653699635,-1.7125368523046194,2.09377532890067,654
635,8,0.7643857349474551,0.08319428036768804,-2.838466253265169,2.424061903188691,654
650,8,0.8323401344196538,0.09743903727464638,-1.3181234718061476,1.9782066368288387,654
641,9,0.791122765129058,0.20520998980582944,-1.8516615410129154,2.091555219034999,654
651,9,0.8442330423662169,0.047631197020053244,2.3758571218331395,2.0857563000721955,654
652,9,0.8509720904847524,0.09002640735123173,2.3354184869086447,2.0634903946094827,654
654,9,0.8721455176463804,0.09372724461303777,-1.7336781777950079,2.165947806516025,654
655,10,1.0,0.0,0,0,654
0,0,0.0,0.0,0,0,654
1,1,0.10818585291585103,0.08164081054984762,2.387194442169057,1.7172670964934817,654
2,1,0.13431036624172288,0.08819034430026337,1.7152165361863208,0.6728769811410521,654
4,1,0.13671608778444677,0.11937425333516637,-1.9250695057846292,0.9624951514271617,654
5,1,0.1426889208122254,0.13772767834476568,-0.9931802339637262,0.750794428745595,654
6,1,0.14917686383504158,0.12524042278478592,2.2194353184938844,1.293160966806706,654
10,1,0.16581355609029347,0.15376606746270044,0.6159902572376651,1.122478797157256,654
23,2,0.2514576191156985,0.1847929274133933,2.086194460938325,1.4353382769270633,654
25,2,0.25484813621040925,0.19205783830562612,-1.821087511494898,0.652057255114762,654
26,2,0.2559830107710386,0.15223660987077428,1.1915464727175467,1.3201012925771094,654
29,2,0.25991240473074195,0.16869835822382165,1.2947466951645072,1.750698267446391,654
41,2,0.2801944247784728,0.18519812210392705,1.0048813867757531,1.6309101796029841,654
73,3,0.3442754637654799,0.16218747395097463,1.118973623025834,1.7463776122691683,654
107,3,0.37286803149603787,0.23607986375896767,1.6702073997860596,1.5390592008303512,654
113,3,0.3798535677179362,0.27563046103314753,-2.238452193492612,0.6916928939722197,654
139,3,0.4075451667052715,0.22695531074132846,1.7302373572862113,1.7270438644543573,654
192,4,0.4433214615857324,0.3015791665972865,-2.3194037534408323,0.6822713047963798,654
260,4,0.47739348126972714,0.23042571420854155,1.708711019569862,1.598262063037267,654
264,4,0.47901238437365035,0.21591148896757564,0.72655924678163,1.647423783680412,654
365,5,0.5175585127051857,0.28442987662369834,-1.9346169421668802,0.6228687464161715,654
416,5,0.539265292118198,0.26993473458928313,1.6873735462480122,1.7282545251647397,654
464,5,0.5592161594947939,0.20601404325960326,0.4225512039621279,1.562074335812154,654
494,6,0.5779271143494751,0.3160946884712278,-1.8019237156506789,0.4756594376856369,654
532,6,0.6137772982768468,0.24248670738726424,1.5204978030161227,1.7743381224666674,654
563,6,0.6428273011403819,0.24712505859895564,0.23024291181228632,1.3045662821966122,654
