element,level,t,r,theta,phi
0,0,0.0,0.0,0,0
1,1,0.043927420290899244,0.04100431396097644,0.9128381844445135,0.5111887271303522
2,1,0.044426744940725627,0.03822275191920057,1.7578876472212785,1.297254148865374
3,1,0.046551333315989374,0.04433672563560425,2.1590439835149517,1.7780432370905077
4,1,0.05101299993119912,0.03995725803047931,2.2374392074844405,1.8629452043434793
5,1,0.05198936111350172,0.03553960717331326,-2.4280716563988385,1.3195819535802047
6,1,0.05405499861907004,0.03711977571075217,2.4895844601436847,0.6752553164122591
7,1,0.055740715735200896,0.05489188245355838,-1.289291066368619,1.8020625669308956
11,1,0.06953025682435743,0.06533124246660589,-1.8906298965016226,1.401806216625453
15,1,0.07322572233343771,0.0577076637106313,-1.3236681009465043,1.200833901870672
18,1,0.07392312692842284,0.06946717435881163,-1.385820086109141,0.9872112154737844
21,1,0.07485532474635237,0.07098313339383057,-0.7079863025631111,0.8067396910697969
12,2,0.07017564110676178,0.04273314860117173,2.0171837238644748,1.285772362387312
17,2,0.07386825022748678,0.0538452741166192,1.763847900625293,2.1293981621444438
24,2,0.07636986069932528,0.048866468538565605,2.0471811490912617,2.006005832155719
25,2,0.077001726443506,0.05764393753389374,2.619921664259179,1.5441998849948668
37,2,0.08906311880713091,0.04283285760931848,1.429588280765069,1.0560480108769303
40,2,0.09017633426509586,0.052184238220203266,2.1063410418580597,0.6133966795402838
43,2,0.09072687098578447,0.07780441306428423,-0.5877610543752387,0.8100539805786373
54,2,0.09639142514360444,0.07179241733502541,1.2038388899782366,1.7568858816694342
65,2,0.10196127269037358,0.07031362377062099,-1.183362529659185,0.936374952267505
68,2,0.10224284422560914,0.05971953678985183,-1.8263067624068476,1.184839552736317
59,3,0.10024307617516393,0.029800392047388286,2.263556308462325,1.8080305180530682
77,3,0.10837882784570352,0.05435293773202595,1.551870490986166,0.42162547461529665
120,3,0.12110431083948892,0.04348361648887559,2.016214520103724,1.295212091672279
125,3,0.12218497997251676,0.05454951563038406,1.1071085883325928,1.6861874332888152
129,3,0.12295798277209125,0.06815909935859688,-1.8415090104515872,1.1361442436177065
218,3,0.13773030874313408,0.06784041785449363,-1.191500628083861,1.0205571507371571
176,4,0.13097871438016773,0.0635746483133457,2.107370061364737,0.5506319546736719
206,4,0.13506909700608505,0.062288258680695804,1.247798834976983,1.6118949910002767
301,4,0.14887463189456074,0.058896164307327074,2.2155963576397375,0.8902033269104402
309,4,0.15011027513119923,0.06646312620360738,-1.1882929881723627,1.0242411516428649
335,4,0.15297538677300615,0.052520880863051414,-1.4386547643659933,1.0553206632508234
392,4,0.1585706615453072,0.05063650521135998,-1.1507858626423153,1.212744832025527
323,5,0.1510904344823002,0.0650311648059865,1.2098227516833728,1.371852248658967
477,5,0.16734495312856723,0.07001264279790717,2.399768868150555,0.740234543001417
553,5,0.17359830907188656,0.050017521636454725,-1.3087728655460091,1.254055204655557
441,6,0.1638010332389106,0.07299842162759812,1.1200381092421932,1.2797859792856143
612,6,0.17815916065637472,0.06277892913081962,1.0522949062625866,0.9738495869681502
