element,level,t,r,theta,phi,predspherical_coordinates_N1675k.csv
0,0,0.0,0.0,0,0,[]
1,1,0.009022576362082035,0.00766680183094518,2.294365106183673,1.9041745198042626,[0]
6,2,0.026188132140436582,0.012409091604476966,-2.0905703240251206,2.4129615572239227,[1]
9,2,0.028430853920330068,0.012186664029405032,-2.313341208216552,2.5923730050777505,[1]
13,2,0.03518430721546173,0.026504314627768893,1.700781414461116,2.104629873188093,[1]
37,2,0.043300779333406814,0.02988864010680548,3.019407278434274,2.734644968378415,[1]
40,2,0.043970002813247144,0.03598298378390928,1.720418444671482,2.057961321075676,[1]
52,2,0.045649020095118176,0.041124632566762985,1.7613999019293247,2.4939813244831117,[1]
62,2,0.04797696561776943,0.04277140070561161,2.091778520303443,2.0984703879958095,[1]
48,3,0.045225653853326664,0.025691503664925057,-3.0876760072673157,2.7512613612724808,[6 9]
149,3,0.05652857717223958,0.04423059148737131,1.9887326577337072,2.1801501658168942,[13 62]
258,3,0.06434826854518583,0.04048500747129081,2.2360571237973668,2.399139292385159,[ 6  9 13 37 40 52 62]
220,4,0.061695323023574944,0.03746555281167712,2.7343431411664745,2.6236469575415025,[48]
335,4,0.0698846898493366,0.04373965345057962,2.294350580769606,2.3116899739894596,[149 258]
452,5,0.07622161550949946,0.039598138355839765,2.4338585913390998,2.354954958031243,[220 335]
814,6,0.08792317090147372,0.032625681177287806,2.609188981661413,2.215672185251375,[452]
1967,7,0.11010033521747109,0.048877969031129266,2.630695485783706,2.490732314985565,[814]
2813,8,0.12057490379450964,0.05223645090028522,2.919020636126307,2.6045577988465287,[1967]
4275,9,0.13326210806291394,0.054031382921263554,-3.0265360211247376,2.5425481726904215,[2813]
5639,10,0.14290237882152756,0.053055738498904395,-2.918901779920144,2.6386807773893306,[4275]
7258,10,0.15184167736673926,0.05191336239152892,2.7221960912724583,2.7818433601780184,[4275]
9583,11,0.1628460552834199,0.04809021329341338,2.6900833205553467,2.6526969832491303,[5639 7258]
12320,12,0.17340896599508682,0.0spherical_coordinates_N1675k.csv56159808782286935,2.7432323143036643,2.6057505828147494,[9583]
17420,13,0.18929290017337563,0.059842096522845736,2.5796113368833993,2.43471166891913,[12320]
18735,14,0.19302452544422766,0.06277816310086412,2.5914355529720057,2.4668387976783466,[17420]
24004,15,0.20546792825753446,0.061869115394292885,2.673625765965949,2.421381529057733,[18735]
25152,15,0.20800189293902016,0.07395668551362253,2.730186285521011,2.5236873753991738,[18735]
33920,16,0.22409905547736975,0.07113015500702119,2.453696137513293,2.4945272076558993,[24004 25152]
37026,17,0.22907643625021268,0.06812049621039934,2.3892277803263138,2.4688746423072567,[33920]
42183,18,0.236789237616436,0.06820204742441256,2.4607054401138595,2.5131815086286187,[37026]
50161,19,0.2474160121212351,0.06054104679216893,2.367233826439863,2.5556200524694423,[42183]
57772,20,0.2563642865811687,0.058196890760096785,2.393880457071658,2.59017241836272,[50161]
68853,21,0.2677498550231837,0.05392026205543418,2.5423625627375768,2.7131318338438066,[57772]
72189,21,0.2710158492600325,0.05546916094149563,2.3011550131809524,2.6473278467801946,[57772]
89058,22,0.28565397395477143,0.05117681956814959,1.8869119476016556,2.634864280082447,[68853 72189]
120549,23,0.30796255694983676,0.06079805854624633,1.3148267390415278,2.5711460559618415,[89058]
137497,23,0.31829016502829865,0.07298230577019758,1.2168935272497519,2.716898970742973,[89058]
138076,24,0.3186444496901579,0.0663416910993412,1.2080200701279622,2.4544988459205346,[120549]
155645,24,0.32841514067140665,0.07832456652964379,1.1410136680843919,2.6636252864316567,[120549 137497]
168034,25,0.33468632356063976,0.06670694457272278,0.9600615881148933,2.4674917067195885,[138076]
177704,25,0.339346419861692,0.06803363559471305,1.0771500193707564,2.6440397961605284,[138076 155645]
191610,26,0.34581408158655924,0.07248778374028994,1.1007812677202702,2.473893967094806,[168034]
197323,26,0.34837794909311703,0.0699372525701343,0.8918508156187002,2.5923990120517546,[168034 177704]
223184,27,0.3591993374964735,0.0733690316004905,0.9903658783251745,2.639101921416093,[191610 197323]
277505,28,0.3793444471263647,0.088156937230693,1.0200756180938957,2.625638185897072,[223184]
298056,29,0.3861765391136581,0.09305102310829765,0.9541607014189852,2.59652335926182,[277505]
328893,30,0.3958744991094856,0.08602832845093289,0.8620161669783081,2.640579439374488,[298056]
369790,31,0.40761001116081674,0.08507172952638137,0.8156340748458211,2.5315051582694283,[328893]
417001,32,0.4200302207863167,0.08625204725645803,0.9535642907210166,2.4988281187257426,[369790]
451016,33,0.42834573296109224,0.08161613094864367,1.048765023373271,2.494332307534995,[417001]
468726,33,0.4324384068328294,0.08725694071159612,1.158101015606616,2.4807245651668315,[417001]
503991,34,0.44036923643025394,0.08559400360662239,1.234152504985369,2.5043891997285384,[451016 468726]
596121,35,0.4592964608342668,0.07589624167814228,1.3681276634874293,2.328011763505549,[503991]
639468,36,0.46737621995918677,0.0717134767549869,1.4432431259671235,2.3818044373259335,[596121]
689523,37,0.4762355531389507,0.0735027664655616,1.3771963432427894,2.4865010989640366,[639468]
752743,38,0.48682983061945084,0.07351512815863946,1.2571060423407665,2.4010483258238775,[689523]
819881,39,0.4973970399748717,0.06800078101430067,1.0697751089142373,2.4118071591598738,[752743]
889908,40,0.5080322864618353,0.07418987660143479,1.0805482811827887,2.4818668649740854,[819881]
957397,41,0.5189667185526002,0.0774743391010946,1.2366987455675518,2.5411636933628903,[889908]
1005980,42,0.5273340177731789,0.07355998211295332,1.0721068548967916,2.5200383305195415,[957397]
1084680,43,0.5419308890284623,0.06019110999661286,1.0175797777622733,2.510592244111458,[1005980]
1173100,44,0.5600625882564487,0.07150018665767156,0.7899789991565176,2.598009792432905,[1084680]
1206452,45,0.5675608464265001,0.06971253907272046,0.9589893594395986,2.6428354343599487,[1173100]
1249422,46,0.5778271453098544,0.0762468382114469,1.0824031329700465,2.6420820505498455,[1206452]
1280244,47,0.5856912419150115,0.07997066838641079,1.2079010067955647,2.6489562124539776,[1249422]
1332053,48,0.6000604368572193,0.07928469060489571,1.4167200606286021,2.623989950039699,[1280244]
