element,level,t,r,theta,phi,pred
0,0,0.0,0.0,0,0,[]
1,1,0.020234674869892055,0.010866604074467101,1.0448635767123788,2.35352334717619,[0]
8,2,0.031979159137222934,0.02131259337853587,0.7297429656264073,2.1024423456847265,[1]
12,3,0.04047243397093192,0.017193616010555923,0.3194120183666199,2.2696536876069158,[8]
19,3,0.04647964370462454,0.027109183341917385,0.3790408348911038,2.382950821429036,[8]
46,4,0.058820989453151395,0.029208460886300094,0.11135558506111991,2.191682883001927,[12 19]
185,5,0.08265302853401812,0.04242898247947684,0.309766705896753,2.0977069777746653,[46]
505,6,0.10183804588197953,0.05738081763434972,0.40334221725612773,2.1517543540417567,[185]
1054,7,0.12248227275463563,0.07175500321616604,0.27064075615274213,2.32131520675803,[505]
1517,8,0.13408673671715166,0.07089621742703836,0.40621656024754227,2.43900957673784,[1054]
2324,9,0.14904452556434744,0.07269025470232152,0.16686933004315868,2.4358492798326035,[1517]
4589,10,0.17634296615954514,0.06161518175624221,0.13873264656488432,2.1219322852820017,[2324]
5086,11,0.18096630957679338,0.059359816809016475,0.19891004714980348,2.1117216841066644,[4589]
8073,12,0.2033036112678307,0.05805152864761503,0.057447724089370183,2.0787008457328566,[5086]
9603,13,0.21264755375176136,0.062358221845046115,0.012749460390320924,2.0295621593051214,[8073]
15234,14,0.2384641273418322,0.06936487401622926,-0.18533807583036002,1.9138188840985475,[9603]
18797,15,0.25108454246113543,0.07862687074996476,-0.21362142147332136,1.9504017918557217,[15234]
23343,16,0.26503205752084635,0.08606671199181992,-0.33239354306448704,1.8655003804061139,[18797]
32242,17,0.28721348155522786,0.09637647384571471,-0.21991713738109617,2.0110160303683724,[23343]
38435,18,0.3001104436516622,0.09976066513194648,-0.22876538119271034,1.9874165388751635,[32242]
39996,18,0.3030814377048453,0.1015286821017306,-0.23314913553713526,2.016205449738316,[32242]
47165,19,0.3158025840225457,0.10009818039251862,-0.23299329907795652,2.024520442461423,[38435 39996]
48669,19,0.3183475661437648,0.102568848560647,-0.0858435647691685,2.072067258739657,[38435 39996]
58489,20,0.3333447661237747,0.11182377568876392,-0.14949912821543887,2.026393123018682,[47165 48669]
61820,21,0.33803094311235016,0.11078350386582937,-0.1395931042291905,2.0004699358098383,[58489]
67801,22,0.34586065813569267,0.11155343270017501,-0.13025716903631776,1.9673731467279687,[61820]
88556,23,0.369800832197524,0.11517055330935548,-0.08080433073410212,1.8136275625214047,[67801]
97601,23,0.3788765782885086,0.1271702591064962,-0.19134385799515735,1.812668217053846,[67801]
109761,24,0.3902530892425482,0.12427200935123421,-0.13780648086068037,1.832237111147235,[88556 97601]
121283,24,0.40017408447819325,0.1178211651153498,-0.0694322051627819,1.624653013597081,[88556]
136672,25,0.4122995466092839,0.11968394549365041,-0.011762173943527314,1.639767779423276,[121283]
141044,25,0.4154740115510611,0.14325924396002446,-0.12640239123708882,1.7787970575034007,[109761]
159832,26,0.42854394012669583,0.1466573905358083,-0.09223842534694807,1.7216872955683924,[141044]
168997,26,0.4345192287230346,0.1261113885212455,-0.1235122696576792,1.555154876464568,[136672]
174685,26,0.43809105906036894,0.14302059735045508,-0.0440230735450673,1.6791631425013192,[136672 141044]
198386,27,0.4523521322877603,0.131735939785106,-0.050774736834726594,1.6196826298594904,[159832 168997 174685]
209474,27,0.45846550868083613,0.13838451482642847,-0.0194853226628256,1.5657002935768671,[159832 168997 174685]
221845,28,0.46505843638955335,0.14125648360030935,-0.005389214483059971,1.5911626471148046,[198386 209474]
227798,29,0.46811154826198,0.14204505193180383,0.009001806200578827,1.589200599389119,[221845]
247981,30,0.4781560782158544,0.14149330726342618,0.03965266261345788,1.5904623759408498,[227798]
275691,31,0.4910216037744154,0.1300957384085436,0.050013149421455225,1.588826024474481,[247981]
306721,32,0.5045282543983982,0.12767731742391705,-0.027770191792938558,1.617353604268051,[275691]
340537,33,0.5200703043443559,0.13540318434000567,-0.06449941887183162,1.6821655735544518,[306721]
357423,34,0.5282992319392379,0.13643082707562065,-0.09218543248147587,1.646487603305318,[340537]
394056,35,0.5476745019323296,0.13133588105397262,-0.09322234162967548,1.5856551418269111,[357423]
426350,36,0.5672301126083558,0.12414589435952737,-0.11175884345229195,1.5426506162810314,[394056]
426476,36,0.5673262706503814,0.1342635558284401,-0.15788755316518321,1.6310059738494316,[394056]
450184,37,0.5836271149128522,0.13396279335611716,-0.1795616613650161,1.6060242328629395,[426350 426476]
469845,38,0.5988303303297879,0.1280785870100535,-0.146961902188777,1.6028438664424263,[450184]
482631,39,0.609812338758928,0.12189370328005121,-0.1084750165858092,1.6074644620085936,[469845]
500295,40,0.62661921450426,0.10688050746043508,-0.1016546726977118,1.6218381340936368,[482631]
504717,41,0.6311960196021407,0.10356688990622304,-0.08291922670551176,1.6141660473745865,[500295]
517397,42,0.645393197634376,0.10683850922092186,-0.186932368713382,1.6141578591618733,[504717]
537184,43,0.671831256475529,0.08930424461933967,-0.35986264809848767,1.6942934720033136,[517397]
553902,44,0.7003215805476122,0.07023064079564897,-0.5358857988625982,1.5478733207327222,[537184]
557411,45,0.707303257457724,0.07074048147754193,-0.516496956803532,1.4632014149904105,[553902]
560300,46,0.7135881143148542,0.0706154375870511,-0.4291862066053172,1.4456969584194181,[557411]
569842,47,0.7375239040459625,0.06876502959527789,-0.5817832884832094,1.7519158530702328,[560300]
572082,47,0.7442036661368846,0.05204979576950053,-0.5304308667009203,1.7374166001611835,[560300]
573914,48,0.7505358418717036,0.06591480737227107,-0.44745545873295656,1.8570861361250457,[569842]
575804,48,0.7573442807107355,0.06145788642688146,-0.5876312633626474,1.8466347901190925,[569842 572082]
576665,48,0.7605006245713511,0.05729325631119385,-0.47455206963594193,1.990144020411958,[569842 572082]
580891,49,0.7788776705239763,0.07875580425389814,-0.4184901891006678,2.0399847477734663,[573914]
581283,49,0.7809042237606605,0.07310257098223868,-0.5226282504435448,2.1104251069496827,[573914 575804 576665]
582360,49,0.7864216122885106,0.06962782714629366,-0.3322459033443931,2.213444959747144,[573914 576665]
584379,50,0.7980683219370521,0.06854083560681562,-0.42824192522853477,2.252786779478357,[580891 581283 582360]
586051,51,0.8098422957183906,0.06417537610113457,-0.25959305167069874,2.2046124207463076,[584379]
587863,52,0.8251623149484698,0.06938350480524991,-0.17548767630839987,2.3394413672820376,[586051]
589792,53,0.8481199589386399,0.06851525076976361,-0.2496912518622241,2.4637187458250773,[587863]
590324,54,0.8566355123906069,0.07566298465496156,-0.2619323202582235,2.4892182928091775,[589792]
590732,55,0.8639204313108092,0.07967093246554868,-0.2595368287333906,2.460841965569676,[590324]
